;AutoSpike-32 ASCII File
;1
; Wave data Signal sim_L4_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.029010	6
0.029063	-63
0.029115	-62
0.029167	18
0.029219	9
0.029271	-51
0.029323	-4
0.029375	84
0.029427	33
0.029479	-69
0.029531	-5
0.029583	17
0.029635	-16
0.029688	-23
0.029740	-10
0.029792	-68
0.029844	-59
0.029896	10
0.029948	-91
0.030000	-84
0.030052	-63
0.030104	22
0.030156	-75
0.030208	-71
0.030260	1
0.030313	-8
0.030365	-46
0.030417	33
0.030469	45
0.030521	-40
0.030573	14
0.030625	-3
0.030677	5
0.030729	-46
0.030781	-46
0.030833	-29
0.030885	-44
0.030938	-72
0.030990	-27
0.031042	18
0.031094	-2
0.031146	-59
0.031198	14
0.031250	5
0.031302	-33
0.031354	-85
0.031406	-27
0.031458	-5
0.031510	-7
0.031563	4
0.031615	-43
0.031667	-96
0.031719	-57
0.031771	-51
0.031823	-54
0.031875	-20
0.031927	35
0.031979	-41
0.032031	-109
0.032083	-20
0.032135	-5
0.032188	-34
0.032240	-105
0.032292	-98
0.032344	-67
0.032396	-76
0.032448	-47
0.032500	7
0.032552	-81
0.032604	-8
0.032656	30
0.032708	-65
0.032760	-71
0.032813	7
0.032865	-76
0.032917	-65
0.032969	-33
0.033021	-11
0.033073	-35
0.033125	-30
0.033177	18
0.033229	3
0.033281	-73
0.033333	-36
0.033385	-14
0.033438	-78
0.033490	6
0.033542	5
0.033594	-44
0.033646	-75
0.033698	-57
0.033750	-18
0.033802	-37
0.033854	-47
0.033906	-7
0.033958	-91
0.034010	-143
0.034063	-16
0.034115	-3
0.034167	-7
0.034219	-77
0.034271	36
0.034323	-3
0.034375	-7
0.034427	-24
0.034479	-22
0.034531	-123
0.034583	-84
0.034635	-14
0.034688	19
0.034740	-30
0.034792	-56
0.034844	-3
0.034896	13
0.034948	-70
0.035000	8
0.035052	19
0.035104	-2
0.035156	-16
0.035208	3
0.035260	-53
0.035313	6
0.035365	28
0.035417	-32
0.035469	-27
0.035521	-34
0.035573	-26
0.035625	-35
0.035677	-43
0.035729	-7
0.035781	-47
0.035833	-70
0.035885	25
0.035938	-11
0.035990	-53
0.036042	-38
0.036094	22
0.036146	-20
0.036198	-64
0.036250	-35
0.036302	-1
0.036354	-69
0.036406	-70
0.036458	-32
0.036510	-67
0.036563	-78
0.036615	18
0.036667	23
0.036719	-60
0.036771	3
0.036823	63
0.036875	11
0.036927	-47
0.036979	-48
0.037031	4
0.037083	-48
0.037135	-40
0.037188	-33
0.037240	-87
0.037292	-27
0.037344	-21
0.037396	-50
0.037448	-85
0.037500	-66
0.037552	22
0.037604	-36
0.037656	-71
0.037708	1
0.037760	42
0.037813	-65
0.037865	-49
0.037917	-25
0.037969	-32
0.038021	-12
0.038073	-30
0.038125	23
0.038177	-8
0.038229	-30
0.038281	-10
0.038333	-9
0.038385	-57
0.038438	-21
0.038490	57
0.038542	-34
0.038594	-24
0.038646	74
0.038698	-32
0.038750	-54
0.038802	-23
0.038854	-33
0.038906	-61
0.038958	-48
0.039010	9
0.039063	-32
0.039115	-67
0.039167	-25
0.039219	-32
0.039271	-78
0.039323	-20
0.039375	-23
0.039427	-78
0.039479	-52
0.039531	17
0.039583	75
0.039635	-34
0.039688	1
0.039740	0
0.039792	-40
0.039844	-45
0.039896	-14
0.039948	-13
0.040000	-30
0.040052	-33
0.040104	-48
0.040156	-32
0.040208	-83
0.040260	-7
0.040313	-21
0.040365	-94
0.040417	-77
0.040469	-2
0.040521	-27
0.040573	12
0.040625	-63
0.040677	-32
0.040729	-34
0.040781	-14
0.040833	41
0.040885	-16
0.040938	-90
0.040990	-1
0.041042	33
0.041094	-48
0.041146	-16
0.041198	-36
0.041250	-39
0.041302	-32
0.041354	26
0.041406	6
0.041458	-31
0.041510	-94
0.041563	40
0.041615	14
0.041667	-68
0.041719	-10
0.041771	-23
0.041823	-60
0.041875	1
0.041927	-1
0.041979	-84
0.042031	-37
0.042083	-23
0.042135	-20
0.042188	-60
0.042240	-25
0.042292	9
0.042344	-42
0.042396	-52
0.042448	46
0.042500	-29
0.042552	-59
0.042604	-38
0.042656	-22
0.042708	-81
0.042760	-83
0.042813	-30
0.042865	2
0.042917	38
0.042969	36
0.043021	4
0.043073	-28
0.043125	-41
0.043177	10
0.043229	-7
0.043281	-36
0.043333	-20
0.043385	21
0.043438	-52
0.043490	-22
0.043542	-12
0.043594	-59
0.043646	-51
0.043698	2
0.043750	-31
0.043802	-10
0.043854	-20
0.043906	14
0.043958	-42
0.044010	-64
0.044063	-36
0.044115	15
0.044167	-79
0.044219	-30
0.044271	34
0.044323	-59
0.044375	-57
0.044427	-30
0.044479	47
0.044531	21
0.044583	-45
0.044635	12
0.044688	-11
0.044740	-20
0.044792	-13
0.044844	-8
0.044896	-40
0.044948	-87
0.045000	31
0.045052	-35
0.045104	-42
0.045156	11
0.045208	36
0.045260	-38
0.045313	-79
0.045365	-21
0.045417	-87
0.045469	-65
0.045521	33
0.045573	-17
0.045625	-75
0.045677	-101
0.045729	-46
0.045781	-72
0.045833	-49
0.045885	-23
0.045938	-15
0.045990	-42
0.046042	-52
0.046094	-52
0.046146	-73
0.046198	-51
0.046250	40
0.046302	16
0.046354	-9
0.046406	23
0.046458	19
0.046510	-30
0.046563	-70
0.046615	-22
0.046667	-59
0.046719	-96
0.046771	-24
0.046823	2
0.046875	32
0.046927	-30
0.046979	-1
0.047031	36
0.047083	-21
0.047135	19
0.047188	44
0.047240	-53
0.047292	-44
0.047344	68
0.047396	-20
0.047448	-17
0.047500	-30
0.047552	-13
0.047604	-44
0.047656	-63
0.047708	-36
0.047760	-31
0.047813	-66
0.047865	-25
0.047917	-1
0.047969	-63
0.048021	-91
0.048073	-23
0.048125	-56
0.048177	-109
0.048229	-59
0.048281	0
0.048333	-52
0.048385	-116
0.048438	16
0.048490	69
0.048542	-32
0.048594	-26
0.048646	0
0.048698	1
0.048750	-50
0.048802	11
0.048854	-1
0.048906	-69
0.048958	-38
0.049010	34
0.049063	-42
0.049115	-24
0.049167	-5
0.049219	-18
0.049271	-96
0.049323	-27
0.049375	10
0.049427	-27
0.049479	-32
0.049531	26
0.049583	5
0.049635	-60
0.049688	-29
0.049740	22
0.049792	-63
0.049844	-63
0.049896	-27
0.049948	-72
0.050000	-134
0.050052	-45
0.050104	-4
0.050156	-37
0.050208	-72
0.050260	12
0.050313	-39
0.050365	-61
0.050417	58
0.050469	64
0.050521	-75
0.050573	-47
0.050625	26
0.050677	19
0.050729	-65
0.050781	-39
0.050833	23
0.050885	-61
0.050938	-102
0.050990	27
0.051042	-83
0.051094	-68
0.051146	-43
0.051198	-4
0.051250	-76
0.051302	-79
0.051354	-26
0.051406	29
0.051458	4
0.051510	-26
0.051563	-15
0.051615	-42
0.051667	-31
0.051719	26
0.051771	40
0.051823	-46
0.051875	-45
0.051927	-83
0.051979	-47
0.052031	-32
0.052083	-10
0.052135	-56
0.052188	-50
0.052240	16
0.052292	24
0.052344	-51
0.052396	-51
0.052448	6
0.052500	8
0.052552	-33
0.052604	-19
0.052656	32
0.052708	-13
0.052760	-12
0.052813	12
0.052865	-57
0.052917	-105
0.052969	-5
0.053021	10
0.053073	-68
0.053125	-58
0.053177	-26
0.053229	-27
0.053281	-76
0.053333	-46
0.053385	-20
0.053438	-34
0.053490	-78
0.053542	-50
0.053594	-34
0.053646	-81
0.053698	-18
0.053750	-16
0.053802	-48
0.053854	14
0.053906	6
0.053958	-42
0.054010	-37
0.054063	13
0.054115	63
0.054167	-49
0.054219	-82
0.054271	29
0.054323	-12
0.054375	-62
0.054427	-97
0.054479	-3
0.054531	4
0.054583	-21
0.054635	37
0.054688	-33
0.054740	-73
0.054792	-38
0.054844	15
0.054896	-85
0.054948	-85
0.055000	44
0.055052	12
