;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L3_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.424063	-40
0.424115	-33
0.424167	16
0.424219	-67
0.424271	-40
0.424323	32
0.424375	-35
0.424427	-62
0.424479	9
0.424531	-17
0.424583	-22
0.424635	-66
0.424688	-9
0.424740	-67
0.424792	-89
0.424844	-20
0.424896	-47
0.424948	-88
0.425000	-54
0.425052	6
0.425104	-111
0.425156	-88
0.425208	60
0.425260	-44
0.425313	-56
0.425365	25
0.425417	24
0.425469	-77
0.425521	-23
0.425573	28
0.425625	-67
0.425677	-44
0.425729	-24
0.425781	-86
0.425833	-66
0.425885	-40
0.425938	-49
0.425990	-59
0.426042	-76
0.426094	-32
0.426146	-74
0.426198	-123
0.426250	-17
0.426302	-67
0.426354	-100
0.426406	-34
0.426458	33
0.426510	-100
0.426563	-93
0.426615	-16
0.426667	-44
0.426719	-96
0.426771	-36
0.426823	-59
0.426875	-38
0.426927	-41
0.426979	3
0.427031	-46
0.427083	-98
0.427135	5
0.427188	-84
0.427240	-65
0.427292	-13
0.427344	-17
0.427396	-55
0.427448	-68
0.427500	-15
0.427552	-42
0.427604	-65
0.427656	-48
0.427708	-12
0.427760	-94
0.427813	-56
0.427865	-74
0.427917	-55
0.427969	-37
0.428021	-26
0.428073	-29
0.428125	-83
0.428177	-3
0.428229	-35
0.428281	-48
0.428333	-78
0.428385	-58
0.428438	-86
0.428490	-91
0.428542	-30
0.428594	-49
0.428646	-102
0.428698	-84
0.428750	-2
0.428802	-24
0.428854	-98
0.428906	3
0.428958	-21
0.429010	-93
0.429063	-2
0.429115	0
0.429167	-23
0.429219	23
0.429271	-3
0.429323	-48
0.429375	-65
0.429427	23
0.429479	-47
0.429531	-68
0.429583	50
0.429635	5
0.429688	-73
0.429740	-24
0.429792	41
0.429844	-13
0.429896	-92
0.429948	13
0.430000	-4
0.430052	-61
0.430104	11
0.430156	0
0.430208	-113
0.430260	-77
0.430313	0
0.430365	-24
0.430417	-96
0.430469	-17
0.430521	-22
0.430573	-73
0.430625	-78
0.430677	-2
0.430729	-23
0.430781	-74
0.430833	9
0.430885	-61
0.430938	-90
0.430990	-5
0.431042	-6
0.431094	-112
0.431146	-113
0.431198	2
0.431250	-38
0.431302	7
0.431354	8
0.431406	-19
0.431458	-102
0.431510	-117
0.431563	-13
0.431615	-74
0.431667	-80
0.431719	6
0.431771	-9
0.431823	-87
0.431875	-54
0.431927	-29
0.431979	-81
0.432031	-113
0.432083	-60
0.432135	-64
0.432188	-54
0.432240	20
0.432292	-21
0.432344	-63
0.432396	-3
0.432448	10
0.432500	-78
0.432552	-51
0.432604	6
0.432656	-61
0.432708	-43
0.432760	23
0.432813	37
0.432865	-18
0.432917	-25
0.432969	-1
0.433021	-49
0.433073	-40
0.433125	62
0.433177	-1
0.433229	-21
0.433281	-17
0.433333	-36
0.433385	-96
0.433438	-25
0.433490	-8
0.433542	-139
0.433594	-103
0.433646	-68
0.433698	-46
0.433750	-93
0.433802	-59
0.433854	-38
0.433906	-94
0.433958	-79
0.434010	-31
0.434063	-79
0.434115	-72
0.434167	-17
0.434219	-32
0.434271	-67
0.434323	-35
0.434375	16
0.434427	-46
0.434479	-110
0.434531	-50
0.434583	-82
0.434635	-79
0.434688	-3
0.434740	-43
0.434792	-95
0.434844	-44
0.434896	2
0.434948	-84
0.435000	-107
0.435052	40
0.435104	-44
0.435156	-55
0.435208	-66
0.435260	-5
0.435313	-17
0.435365	-17
0.435417	52
0.435469	0
0.435521	-99
0.435573	-7
0.435625	-5
0.435677	-13
0.435729	-44
0.435781	27
0.435833	-92
0.435885	-76
0.435938	5
0.435990	-21
0.436042	-76
0.436094	-47
0.436146	-39
0.436198	-47
0.436250	-54
0.436302	8
0.436354	-54
0.436406	-117
0.436458	-43
0.436510	-6
0.436563	-90
0.436615	-63
0.436667	-38
0.436719	-17
0.436771	-54
0.436823	9
0.436875	-31
0.436927	-71
0.436979	53
0.437031	5
0.437083	-72
0.437135	0
0.437188	-67
0.437240	-18
0.437292	1
0.437344	-36
0.437396	-66
0.437448	-93
0.437500	-54
0.437552	-29
0.437604	-75
0.437656	-59
0.437708	15
0.437760	-83
0.437813	-85
0.437865	-41
0.437917	-2
0.437969	-100
0.438021	-40
0.438073	27
0.438125	-30
0.438177	-19
0.438229	-4
0.438281	-74
0.438333	-72
0.438385	-17
0.438438	53
0.438490	-6
0.438542	-65
0.438594	-7
0.438646	-24
0.438698	-66
0.438750	26
0.438802	-19
0.438854	-54
0.438906	-62
0.438958	20
0.439010	-31
0.439063	-47
0.439115	-41
0.439167	-47
0.439219	-124
0.439271	-94
0.439323	-65
0.439375	-27
0.439427	-47
0.439479	-24
0.439531	-74
0.439583	-85
0.439635	-41
0.439688	-22
0.439740	-97
0.439792	-60
0.439844	14
0.439896	-68
0.439948	-95
0.440000	4
0.440052	-15
0.440104	-50
0.440156	-86
0.440208	-38
0.440260	-16
0.440313	-54
0.440365	-12
0.440417	-68
0.440469	-70
0.440521	24
0.440573	-16
0.440625	-67
0.440677	-88
0.440729	28
0.440781	-130
0.440833	-106
0.440885	7
0.440938	-69
0.440990	-18
0.441042	5
0.441094	-55
0.441146	-182
0.441198	-71
0.441250	-20
0.441302	-3
0.441354	-42
0.441406	38
0.441458	-53
0.441510	-95
0.441563	-7
0.441615	-29
0.441667	-108
0.441719	-48
0.441771	12
0.441823	-77
0.441875	-88
0.441927	25
0.441979	-1
0.442031	-48
0.442083	6
0.442135	14
0.442188	-45
0.442240	-84
0.442292	-41
0.442344	-43
0.442396	-96
0.442448	5
0.442500	11
0.442552	-4
0.442604	-32
0.442656	13
0.442708	-78
0.442760	-92
0.442813	-17
0.442865	-62
0.442917	-129
0.442969	-37
0.443021	-4
0.443073	-73
0.443125	-72
0.443177	-5
0.443229	-64
0.443281	-182
0.443333	-42
0.443385	-2
0.443438	-47
0.443490	-10
0.443542	37
0.443594	-43
0.443646	-55
0.443698	-4
0.443750	-9
0.443802	-34
0.443854	10
0.443906	-11
0.443958	-129
0.444010	-45
0.444063	-46
0.444115	-105
0.444167	-115
0.444219	-54
0.444271	-51
0.444323	-113
0.444375	-101
0.444427	4
0.444479	-22
0.444531	24
0.444583	46
0.444635	-32
0.444688	-38
0.444740	-26
0.444792	-41
0.444844	-79
0.444896	-68
0.444948	-13
0.445000	-53
0.445052	-44
0.445104	8
0.445156	-48
0.445208	-106
0.445260	-18
0.445313	-4
0.445365	-38
0.445417	-95
0.445469	-5
0.445521	-78
0.445573	-85
0.445625	9
0.445677	-32
0.445729	-59
0.445781	-69
0.445833	-19
0.445885	-72
0.445938	-73
0.445990	19
0.446042	-51
0.446094	-102
0.446146	-2
0.446198	-8
0.446250	-33
0.446302	-60
0.446354	1
0.446406	-20
0.446458	-53
0.446510	17
0.446563	-31
0.446615	-54
0.446667	-41
0.446719	-41
0.446771	-88
0.446823	-88
0.446875	-22
0.446927	-73
0.446979	-103
0.447031	-45
0.447083	8
0.447135	-94
0.447188	-80
0.447240	-52
0.447292	-135
0.447344	-69
0.447396	9
0.447448	-16
0.447500	-76
0.447552	-66
0.447604	23
0.447656	-80
0.447708	-98
0.447760	36
0.447813	-69
0.447865	-111
0.447917	53
0.447969	-27
0.448021	-57
0.448073	-21
0.448125	-33
0.448177	-39
0.448229	-40
0.448281	47
0.448333	7
0.448385	-93
0.448438	-34
0.448490	-54
0.448542	-43
0.448594	-59
0.448646	-42
0.448698	-56
0.448750	-110
0.448802	-35
0.448854	-22
0.448906	-68
0.448958	3
0.449010	98
0.449063	-20
0.449115	-112
0.449167	-14
0.449219	10
0.449271	-59
0.449323	24
0.449375	-34
0.449427	-109
0.449479	-24
0.449531	3
0.449583	-11
0.449635	-42
0.449688	33
0.449740	-40
0.449792	-103
0.449844	-61
0.449896	-5
0.449948	-81
0.450000	-56
0.450052	-17
0.450104	-96
0.450156	-87
0.450208	-26
0.450260	-17
0.450313	-124
0.450365	-58
0.450417	-38
0.450469	-35
0.450521	-52
0.450573	-24
0.450625	-69
0.450677	-90
0.450729	-10
0.450781	-45
0.450833	-125
0.450885	-58
0.450938	-3
0.450990	-35
0.451042	-86
0.451094	18
0.451146	12
0.451198	-34
0.451250	-4
0.451302	-21
0.451354	-107
0.451406	-65
0.451458	22
0.451510	-81
0.451563	-99
0.451615	-37
0.451667	15
0.451719	-58
0.451771	-73
0.451823	0
0.451875	-11
0.451927	-67
0.451979	41
0.452031	-5
0.452083	-30
0.452135	-21
0.452188	-15
0.452240	-92
0.452292	-31
0.452344	-42
0.452396	-36
0.452448	-69
0.452500	-63
0.452552	-74
0.452604	-89
0.452656	-13
0.452708	49
0.452760	-73
0.452813	-59
0.452865	-14
0.452917	-71
0.452969	-90
0.453021	-10
0.453073	9
0.453125	-46
0.453177	-41
0.453229	-13
0.453281	-93
0.453333	-119
0.453385	-35
0.453438	-30
0.453490	-82
0.453542	-18
0.453594	28
0.453646	-82
0.453698	-58
0.453750	26
0.453802	-95
0.453854	-69
0.453906	-54
0.453958	-63
0.454010	-80
0.454063	-71
0.454115	3
0.454167	-39
0.454219	-47
0.454271	-27
0.454323	-19
0.454375	-47
0.454427	-42
0.454479	-62
0.454531	-86
0.454583	-39
0.454635	-29
0.454688	-45
0.454740	-97
0.454792	5
0.454844	-50
0.454896	-76
0.454948	-43
0.455000	28
0.455052	-9
0.455104	-57
0.455156	29
0.455208	-70
0.455260	-127
0.455313	-60
0.455365	-45
0.455417	-24
0.455469	-5
0.455521	9
0.455573	-39
0.455625	-112
0.455677	-4
0.455729	-58
0.455781	-71
0.455833	31
0.455885	38
0.455938	-41
0.455990	-93
0.456042	-3
0.456094	-58
0.456146	-79
0.456198	-44
0.456250	-22
0.456302	-116
0.456354	-72
0.456406	30
0.456458	-37
0.456510	-81
0.456563	-13
0.456615	-127
0.456667	-97
0.456719	-121
0.456771	-105
0.456823	-100
0.456875	-66
0.456927	-16
0.456979	-38
0.457031	-103
0.457083	-60
0.457135	-3
0.457188	-14
0.457240	12
0.457292	-5
0.457344	-67
0.457396	-84
0.457448	-21
0.457500	20
0.457552	-74
0.457604	-27
0.457656	-11
0.457708	-25
0.457760	-60
0.457813	34
0.457865	-55
0.457917	-61
0.457969	-69
0.458021	-84
0.458073	-100
0.458125	-22
0.458177	-48
0.458229	-54
0.458281	-92
0.458333	61
0.458385	-2
0.458438	-71
0.458490	42
0.458542	-15
0.458594	-6
0.458646	-27
0.458698	-57
0.458750	-124
0.458802	-47
0.458854	15
0.458906	-3
0.458958	-71
0.459010	-12
0.459063	-24
0.459115	-107
0.459167	-53
0.459219	-23
0.459271	-73
0.459323	-62
0.459375	-2
0.459427	9
0.459479	-96
0.459531	29
0.459583	-29
0.459635	-60
0.459688	-48
0.459740	48
0.459792	-44
0.459844	-39
0.459896	21
0.459948	-5
0.460000	-81
0.460052	-99
0.460104	-19
0.460156	-118
0.460208	-87
0.460260	-20
0.460313	-7
0.460365	-43
0.460417	-1
0.460469	-9
0.460521	-100
0.460573	-103
0.460625	-43
0.460677	-51
0.460729	-126
0.460781	-17
0.460833	-29
0.460885	-53
0.460938	-16
0.460990	-3
0.461042	-35
0.461094	-79
0.461146	-33
0.461198	-28
0.461250	-45
0.461302	-33
0.461354	-44
0.461406	-36
0.461458	12
0.461510	50
0.461563	-55
0.461615	-99
0.461667	-56
0.461719	-61
0.461771	-87
0.461823	-29
0.461875	-24
0.461927	-99
0.461979	-111
0.462031	-3
0.462083	-14
0.462135	-88
0.462188	-23
0.462240	-25
0.462292	-84
0.462344	-22
0.462396	9
0.462448	-62
0.462500	-62
0.462552	29
0.462604	-67
0.462656	-122
0.462708	-33
0.462760	9
0.462813	-112
0.462865	-57
0.462917	-8
0.462969	-28
0.463021	-20
0.463073	14
0.463125	-33
0.463177	-70
0.463229	-56
0.463281	-15
0.463333	-2
0.463385	-24
0.463438	41
0.463490	-35
0.463542	-55
0.463594	13
0.463646	-54
0.463698	-108
0.463750	-47
0.463802	41
0.463854	-48
0.463906	-85
0.463958	17
0.464010	-31
0.464063	-89
0.464115	9
0.464167	3
0.464219	-47
0.464271	-83
0.464323	-55
0.464375	-89
0.464427	-82
0.464479	-34
0.464531	-36
0.464583	-111
0.464635	-103
0.464688	-66
0.464740	-108
0.464792	-153
0.464844	-35
0.464896	-31
0.464948	-87
0.465000	-2
0.465052	12
0.465104	-56
0.465156	-62
0.465208	-34
0.465260	-91
0.465313	-72
0.465365	-12
0.465417	-48
0.465469	-97
0.465521	-55
0.465573	29
0.465625	-58
0.465677	-58
0.465729	-21
0.465781	8
0.465833	-84
0.465885	14
0.465938	6
0.465990	-12
0.466042	-13
0.466094	62
0.466146	-78
0.466198	-39
0.466250	17
0.466302	-11
0.466354	-92
0.466406	16
0.466458	-13
0.466510	-92
0.466563	-50
0.466615	42
0.466667	-29
0.466719	-122
0.466771	-30
0.466823	-44
0.466875	-87
0.466927	-25
0.466979	-4
0.467031	-69
0.467083	-80
0.467135	-50
0.467188	-12
0.467240	-99
0.467292	-22
0.467344	-2
0.467396	-93
0.467448	-85
0.467500	2
0.467552	-99
0.467604	-126
0.467656	0
0.467708	-48
0.467760	-53
0.467813	-14
0.467865	43
0.467917	-102
0.467969	-18
0.468021	25
0.468073	-57
0.468125	-111
0.468177	32
0.468229	-37
0.468281	-99
0.468333	-41
0.468385	-5
0.468438	-31
0.468490	-76
0.468542	5
0.468594	-69
0.468646	-49
0.468698	-20
0.468750	-8
0.468802	-93
0.468854	-70
0.468906	-13
0.468958	-32
0.469010	-57
0.469063	8
0.469115	-29
0.469167	-60
0.469219	-24
0.469271	-32
0.469323	-54
0.469375	-59
0.469427	30
0.469479	-37
0.469531	-103
0.469583	-4
0.469635	-45
0.469688	-91
0.469740	-34
0.469792	-29
0.469844	-92
0.469896	-67
0.469948	-18
0.470000	-36
0.470052	-96
0.470104	-42
0.470156	2
0.470208	-24
0.470260	-59
0.470313	6
0.470365	-84
0.470417	-81
0.470469	13
0.470521	-44
0.470573	-71
0.470625	-1
0.470677	6
0.470729	-64
0.470781	-47
0.470833	15
0.470885	-21
0.470938	-81
0.470990	12
0.471042	-16
0.471094	-13
0.471146	-103
0.471198	-37
0.471250	-87
0.471302	-70
0.471354	-11
0.471406	-28
0.471458	-92
0.471510	-32
0.471563	-74
0.471615	-142
0.471667	-34
0.471719	-4
0.471771	-104
0.471823	-89
0.471875	-21
0.471927	2
0.471979	-74
0.472031	-53
0.472083	-5
0.472135	-42
0.472188	-42
0.472240	4
0.472292	-37
0.472344	-58
0.472396	18
0.472448	-8
0.472500	-29
0.472552	-49
0.472604	-35
0.472656	-81
0.472708	-102
0.472760	7
0.472813	-7
0.472865	-99
0.472917	-24
0.472969	-4
0.473021	-63
0.473073	-83
0.473125	9
0.473177	-70
0.473229	-109
0.473281	-39
0.473333	-1
0.473385	-78
0.473438	-33
0.473490	-8
0.473542	-84
0.473594	-54
0.473646	39
0.473698	-108
0.473750	-63
0.473802	-32
0.473854	-73
0.473906	-78
0.473958	-70
0.474010	-2
0.474063	-47
0.474115	-35
0.474167	-2
0.474219	20
0.474271	-66
0.474323	-98
0.474375	-44
0.474427	-98
0.474479	-169
0.474531	-15
0.474583	-11
0.474635	-58
0.474688	-37
0.474740	-16
0.474792	-59
0.474844	-47
0.474896	7
0.474948	-77
0.475000	-87
0.475052	4
0.475104	-38
0.475156	-58
0.475208	-40
0.475260	43
0.475313	-37
0.475365	-51
0.475417	19
0.475469	-49
0.475521	-78
0.475573	-47
0.475625	-33
0.475677	-48
0.475729	-31
0.475781	25
0.475833	-58
0.475885	-52
0.475938	-40
0.475990	-61
0.476042	-76
0.476094	-65
0.476146	-3
0.476198	-24
0.476250	-31
0.476302	4
0.476354	-47
0.476406	-150
0.476458	23
0.476510	34
0.476563	-70
0.476615	-69
0.476667	22
0.476719	-77
0.476771	-80
0.476823	-41
0.476875	-52
0.476927	-74
0.476979	5
0.477031	-17
0.477083	-86
0.477135	-35
0.477188	15
0.477240	-48
0.477292	-76
0.477344	-10
0.477396	-46
0.477448	-88
0.477500	-90
0.477552	-62
0.477604	-128
0.477656	-112
0.477708	30
0.477760	-37
0.477813	-42
0.477865	30
0.477917	31
0.477969	-46
0.478021	-61
0.478073	-20
0.478125	-121
0.478177	-104
0.478229	-32
0.478281	-24
0.478333	-84
0.478385	-51
0.478438	-33
0.478490	-68
0.478542	-91
0.478594	-47
0.478646	-81
0.478698	-84
0.478750	-67
0.478802	-52
0.478854	-102
0.478906	-47
0.478958	-19
0.479010	-74
0.479063	-49
0.479115	16
0.479167	-53
0.479219	-113
0.479271	-75
0.479323	-34
0.479375	-43
0.479427	-33
0.479479	41
0.479531	-17
0.479583	-76
0.479635	-10
0.479688	-25
0.479740	-55
0.479792	-20
0.479844	-2
0.479896	-60
0.479948	-26
0.480000	-41
0.480052	-86
0.480104	-59
0.480156	33
0.480208	-14
0.480260	-56
0.480313	-44
0.480365	24
0.480417	-71
0.480469	-68
0.480521	-7
0.480573	-20
0.480625	-107
0.480677	-16
0.480729	-22
0.480781	-76
0.480833	-59
0.480885	15
0.480938	-49
0.480990	-106
0.481042	-3
0.481094	-3
0.481146	-116
0.481198	-26
0.481250	5
0.481302	-121
0.481354	-95
0.481406	11
0.481458	-69
0.481510	-81
0.481563	-17
0.481615	-13
0.481667	-79
0.481719	-19
0.481771	19
0.481823	-50
0.481875	-74
0.481927	-31
0.481979	-92
0.482031	-110
0.482083	-62
0.482135	4
0.482188	-10
0.482240	-94
0.482292	-34
0.482344	-147
0.482396	-119
0.482448	40
0.482500	-22
0.482552	-113
0.482604	-58
0.482656	10
0.482708	-63
0.482760	-50
0.482813	34
0.482865	18
0.482917	-52
0.482969	-10
0.483021	25
0.483073	11
0.483125	-40
0.483177	40
0.483229	-42
0.483281	-41
0.483333	16
0.483385	-51
0.483438	-40
0.483490	-1
0.483542	-54
0.483594	-75
0.483646	-21
0.483698	33
0.483750	-79
0.483802	-77
0.483854	-55
0.483906	-13
0.483958	-93
0.484010	-47
0.484063	42
0.484115	-17
0.484167	-54
0.484219	19
0.484271	-45
0.484323	-68
0.484375	-31
0.484427	-51
0.484479	-41
0.484531	-108
0.484583	-15
0.484635	-72
0.484688	-56
0.484740	-86
0.484792	-86
0.484844	-167
0.484896	-88
0.484948	-58
0.485000	-40
0.485052	-95
0.485104	30
0.485156	-8
0.485208	-41
0.485260	-2
0.485313	-34
0.485365	-25
0.485417	-49
0.485469	2
0.485521	-60
0.485573	-67
0.485625	25
0.485677	-20
0.485729	-58
0.485781	-46
0.485833	16
0.485885	-34
0.485938	-70
0.485990	-20
0.486042	-92
0.486094	-65
0.486146	10
0.486198	6
0.486250	-41
0.486302	-11
0.486354	10
0.486406	-33
0.486458	-53
0.486510	-26
0.486563	-25
0.486615	-72
0.486667	-22
0.486719	-39
0.486771	-53
0.486823	-70
0.486875	-14
0.486927	-69
0.486979	-101
0.487031	-38
0.487083	-86
0.487135	-91
0.487188	-99
0.487240	-1
0.487292	-75
0.487344	-107
0.487396	-19
0.487448	-103
0.487500	-146
0.487552	-58
0.487604	-2
0.487656	-123
0.487708	-61
0.487760	34
0.487813	-43
0.487865	-32
0.487917	52
0.487969	-81
0.488021	-108
0.488073	-45
0.488125	49
0.488177	-74
0.488229	-31
0.488281	-24
0.488333	-57
0.488385	-25
0.488438	-14
0.488490	-58
0.488542	-82
0.488594	-56
0.488646	-2
0.488698	-99
0.488750	-121
0.488802	-45
0.488854	-104
0.488906	-146
0.488958	-21
0.489010	14
0.489063	-79
0.489115	-31
0.489167	-12
0.489219	-44
0.489271	-42
0.489323	37
0.489375	-15
0.489427	-87
0.489479	-70
0.489531	-5
0.489583	-138
0.489635	-100
0.489688	13
0.489740	-21
0.489792	-100
0.489844	-68
0.489896	-51
0.489948	-69
0.490000	-39
0.490052	21
0.490104	-55
0.490156	-39
0.490208	-15
0.490260	-52
0.490313	-109
0.490365	-17
0.490417	44
0.490469	-74
0.490521	-95
0.490573	-14
0.490625	-69
0.490677	-51
0.490729	10
0.490781	-6
0.490833	-78
0.490885	-27
0.490938	-15
0.490990	-48
0.491042	-118
0.491094	-10
0.491146	-56
0.491198	-122
0.491250	23
0.491302	-41
0.491354	-58
0.491406	-32
0.491458	-15
0.491510	-37
0.491563	-75
0.491615	45
0.491667	-72
0.491719	-87
0.491771	-75
0.491823	-16
0.491875	-51
0.491927	-67
0.491979	46
0.492031	-60
0.492083	-70
0.492135	16
0.492188	48
0.492240	-31
0.492292	-38
0.492344	-42
0.492396	-82
0.492448	-17
0.492500	17
0.492552	-16
0.492604	-94
0.492656	-24
0.492708	17
0.492760	-6
0.492813	-30
0.492865	-21
0.492917	-30
0.492969	-38
0.493021	12
0.493073	-47
0.493125	-65
0.493177	-20
0.493229	-37
0.493281	-20
0.493333	-95
0.493385	-48
0.493438	-37
0.493490	-135
0.493542	-57
0.493594	-34
0.493646	-114
0.493698	-122
0.493750	16
0.493802	-8
0.493854	-104
0.493906	-9
0.493958	-64
0.494010	-124
0.494063	-72
0.494115	25
0.494167	-22
0.494219	-61
0.494271	-9
0.494323	-50
0.494375	-50
0.494427	-65
0.494479	-85
0.494531	-60
0.494583	-1
0.494635	30
0.494688	-73
0.494740	-127
0.494792	0
0.494844	-22
0.494896	-86
0.494948	5
0.495000	-38
0.495052	-76
0.495104	-36
0.495156	1
0.495208	-51
0.495260	-52
0.495313	4
0.495365	12
0.495417	-47
0.495469	-71
0.495521	33
0.495573	-8
0.495625	-51
0.495677	-1
0.495729	-34
0.495781	-52
0.495833	-42
0.495885	-60
0.495938	-105
0.495990	-68
0.496042	-50
0.496094	-108
0.496146	-56
0.496198	-16
0.496250	-59
0.496302	-115
0.496354	-52
0.496406	-37
0.496458	-106
0.496510	-56
0.496563	4
0.496615	-51
0.496667	-70
0.496719	-20
0.496771	-28
0.496823	-57
0.496875	-26
0.496927	28
0.496979	-40
0.497031	-104
0.497083	-36
0.497135	-34
0.497188	-32
0.497240	-48
0.497292	-67
0.497344	-101
0.497396	-56
0.497448	12
0.497500	-6
0.497552	-22
0.497604	7
0.497656	-26
0.497708	-107
0.497760	-86
0.497813	-24
0.497865	-112
0.497917	-83
0.497969	-20
0.498021	-17
0.498073	-49
0.498125	26
0.498177	-8
0.498229	-3
0.498281	-88
0.498333	0
0.498385	-11
0.498438	-37
0.498490	24
0.498542	-58
0.498594	-61
0.498646	-72
0.498698	-21
0.498750	-69
0.498802	8
0.498854	53
0.498906	-6
0.498958	-29
0.499010	-20
0.499063	-10
0.499115	-66
0.499167	-45
0.499219	5
0.499271	-93
0.499323	-76
0.499375	2
0.499427	-90
0.499479	-84
0.499531	-43
0.499583	-34
0.499635	-52
0.499688	-82
0.499740	-6
0.499792	-96
0.499844	-92
0.499896	-72
0.499948	-8
0.500000	-60
0.500052	-77
0.500104	62
0.500156	-38
0.500208	-71
0.500260	23
0.500313	-14
0.500365	-62
0.500417	-18
0.500469	-40
0.500521	-62
0.500573	-96
0.500625	-1
0.500677	-95
0.500729	-105
0.500781	37
0.500833	-5
0.500885	-58
0.500938	-34
0.500990	-6
0.501042	-95
0.501094	-60
0.501146	-7
0.501198	-65
0.501250	-114
0.501302	11
0.501354	40
0.501406	-49
0.501458	-47
0.501510	13
0.501563	-91
0.501615	-133
0.501667	-7
0.501719	-25
0.501771	-48
0.501823	-15
0.501875	39
0.501927	-124
0.501979	-90
0.502031	-72
0.502083	-50
0.502135	-51
0.502188	-3
0.502240	-44
0.502292	-68
0.502344	-90
0.502396	-37
0.502448	-33
0.502500	-80
0.502552	-43
0.502604	-26
0.502656	-56
0.502708	9
0.502760	-30
0.502813	-75
0.502865	-48
0.502917	7
0.502969	-38
0.503021	-144
0.503073	-13
0.503125	-80
0.503177	-60
0.503229	-3
0.503281	30
0.503333	-34
0.503385	-29
0.503438	-9
0.503490	-59
0.503542	-148
0.503594	-71
0.503646	-116
0.503698	-100
0.503750	-48
0.503802	-11
0.503854	-84
0.503906	-77
0.503958	45
0.504010	-2
0.504063	-40
0.504115	-4
0.504167	-13
0.504219	-81
0.504271	-70
0.504323	19
0.504375	-97
0.504427	-49
0.504479	-11
0.504531	-25
0.504583	-87
0.504635	-21
0.504688	2
0.504740	-74
0.504792	-62
0.504844	31
0.504896	-33
0.504948	-57
0.505000	4
0.505052	0
0.505104	-56
0.505156	-20
0.505208	-6
0.505260	-45
0.505313	-83
0.505365	6
0.505417	19
0.505469	-58
0.505521	-60
0.505573	-8
0.505625	-46
0.505677	-110
0.505729	-8
0.505781	-67
0.505833	-61
0.505885	-41
0.505938	-8
0.505990	-93
0.506042	-37
0.506094	-13
0.506146	-40
0.506198	-37
0.506250	62
0.506302	-65
0.506354	-81
0.506406	-75
0.506458	-50
0.506510	-78
0.506563	-94
0.506615	-56
0.506667	-113
0.506719	-85
0.506771	-16
0.506823	-64
0.506875	-100
0.506927	-70
0.506979	-57
0.507031	-14
0.507083	-26
0.507135	-11
0.507188	-30
0.507240	-42
0.507292	8
0.507344	-31
0.507396	-96
0.507448	-64
0.507500	-35
0.507552	-47
0.507604	-114
0.507656	-32
0.507708	-51
0.507760	-127
0.507813	11
0.507865	-31
0.507917	-73
0.507969	-48
0.508021	23
0.508073	-104
0.508125	-58
0.508177	55
0.508229	2
0.508281	-75
0.508333	-63
0.508385	-17
0.508438	-11
0.508490	-33
0.508542	0
0.508594	-68
0.508646	-152
0.508698	-18
0.508750	-64
0.508802	-70
0.508854	-78
0.508906	21
0.508958	-24
0.509010	-111
0.509063	62
0.509115	-9
0.509167	-51
0.509219	-15
0.509271	22
0.509323	-52
0.509375	-45
0.509427	61
0.509479	-64
0.509531	-86
0.509583	-50
0.509635	-71
0.509688	-54
0.509740	-21
0.509792	-12
0.509844	-86
0.509896	-100
0.509948	-19
0.510000	-127
0.510052	-88
0.510104	-29
0.510156	-21
0.510208	-21
0.510260	-74
0.510313	-22
0.510365	-78
0.510417	-66
0.510469	-51
0.510521	-13
0.510573	-96
0.510625	-36
0.510677	-17
0.510729	-95
0.510781	-102
0.510833	-72
0.510885	-61
0.510938	-141
0.510990	-43
0.511042	16
0.511094	-67
0.511146	18
0.511198	9
0.511250	-40
0.511302	-34
0.511354	9
0.511406	-54
0.511458	-82
0.511510	-1
0.511563	-18
0.511615	-136
0.511667	-76
0.511719	-18
0.511771	-65
0.511823	-70
0.511875	-27
0.511927	-3
0.511979	-70
0.512031	-47
0.512083	-10
0.512135	-85
0.512188	-65
0.512240	-10
0.512292	-80
0.512344	-104
0.512396	-35
0.512448	3
0.512500	-60
0.512552	-66
0.512604	2
0.512656	-30
0.512708	-59
0.512760	-2
0.512813	-38
0.512865	-82
0.512917	-57
0.512969	-30
0.513021	-77
0.513073	-26
0.513125	28
0.513177	-71
0.513229	-34
0.513281	-3
0.513333	-26
0.513385	-105
0.513438	-91
0.513490	-8
0.513542	-29
0.513594	-72
0.513646	19
0.513698	-54
0.513750	-78
0.513802	-15
0.513854	-42
0.513906	-101
0.513958	-11
0.514010	21
0.514063	-47
0.514115	-65
0.514167	-17
0.514219	-52
0.514271	-93
0.514323	-11
0.514375	19
0.514427	-92
0.514479	-105
0.514531	-47
0.514583	-42
0.514635	-22
0.514688	16
0.514740	12
0.514792	-87
0.514844	-9
0.514896	29
0.514948	-93
0.515000	-62
0.515052	-26
0.515104	-2
0.515156	-60
0.515208	18
0.515260	-26
0.515313	-71
0.515365	-29
0.515417	-13
0.515469	-46
0.515521	-108
0.515573	-26
0.515625	-42
0.515677	-76
0.515729	14
0.515781	-3
0.515833	-89
0.515885	-71
0.515938	-16
0.515990	-68
0.516042	-73
0.516094	-18
0.516146	2
0.516198	-98
0.516250	-70
0.516302	16
0.516354	-12
0.516406	-74
