;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L2_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.042865	35
0.042917	-83
0.042969	-54
0.043021	10
0.043073	-20
0.043125	-35
0.043177	51
0.043229	-42
0.043281	-87
0.043333	-43
0.043385	30
0.043438	-34
0.043490	-95
0.043542	-24
0.043594	-35
0.043646	-77
0.043698	-61
0.043750	0
0.043802	-73
0.043854	-64
0.043906	-34
0.043958	15
0.044010	-58
0.044063	37
0.044115	-54
0.044167	-76
0.044219	5
0.044271	9
0.044323	-61
0.044375	-101
0.044427	-79
0.044479	-49
0.044531	-53
0.044583	13
0.044635	1
0.044688	-110
0.044740	-143
0.044792	2
0.044844	-65
0.044896	-74
0.044948	-70
0.045000	-25
0.045052	-47
0.045104	-48
0.045156	6
0.045208	-28
0.045260	-122
0.045313	23
0.045365	26
0.045417	-97
0.045469	5
0.045521	-15
0.045573	-48
0.045625	-98
0.045677	12
0.045729	-7
0.045781	-82
0.045833	-38
0.045885	38
0.045938	-35
0.045990	-83
0.046042	-39
0.046094	-66
0.046146	-89
0.046198	-63
0.046250	40
0.046302	20
0.046354	-35
0.046406	11
0.046458	-84
0.046510	-27
0.046563	-23
0.046615	20
0.046667	26
0.046719	15
0.046771	-3
0.046823	-41
0.046875	-75
0.046927	-56
0.046979	-46
0.047031	-50
0.047083	-7
0.047135	-7
0.047188	-27
0.047240	-62
0.047292	25
0.047344	-51
0.047396	-98
0.047448	-55
0.047500	-17
0.047552	-45
0.047604	-2
0.047656	28
0.047708	-108
0.047760	-95
0.047813	-72
0.047865	-54
0.047917	-67
0.047969	-60
0.048021	21
0.048073	-83
0.048125	-62
0.048177	25
0.048229	-42
0.048281	9
0.048333	0
0.048385	-19
0.048438	-117
0.048490	-84
0.048542	12
0.048594	-10
0.048646	-66
0.048698	-45
0.048750	-12
0.048802	-47
0.048854	-41
0.048906	-9
0.048958	-49
0.049010	-38
0.049063	27
0.049115	3
0.049167	-77
0.049219	-69
0.049271	-3
0.049323	-71
0.049375	-70
0.049427	10
0.049479	-15
0.049531	-56
0.049583	7
0.049635	-25
0.049688	-20
0.049740	-58
0.049792	-27
0.049844	-70
0.049896	-71
0.049948	-26
0.050000	39
0.050052	-65
0.050104	-15
0.050156	67
0.050208	-69
0.050260	-76
0.050313	-1
0.050365	-49
0.050417	-38
0.050469	3
0.050521	41
0.050573	-88
0.050625	-125
0.050677	-14
0.050729	-61
0.050781	-59
0.050833	-34
0.050885	-33
0.050938	-58
0.050990	-33
0.051042	-2
0.051094	-42
0.051146	-84
0.051198	4
0.051250	-34
0.051302	-25
0.051354	-67
0.051406	-37
0.051458	-39
0.051510	-61
0.051563	-31
0.051615	-39
0.051667	-37
0.051719	-56
0.051771	-41
0.051823	-23
0.051875	-37
0.051927	28
0.051979	32
0.052031	-30
0.052083	-11
0.052135	11
0.052188	-145
0.052240	-66
0.052292	16
0.052344	-28
0.052396	-106
0.052448	-29
0.052500	-60
0.052552	-47
0.052604	-91
0.052656	-65
0.052708	-84
0.052760	-89
0.052813	11
0.052865	-19
0.052917	-92
0.052969	-27
0.053021	-1
0.053073	-41
0.053125	-71
0.053177	-18
0.053229	-32
0.053281	-39
0.053333	-5
0.053385	-43
0.053438	-77
0.053490	-71
0.053542	67
0.053594	-70
0.053646	-57
0.053698	-19
0.053750	-39
0.053802	-110
0.053854	-38
0.053906	-55
0.053958	-106
0.054010	-61
0.054063	30
0.054115	20
0.054167	-44
0.054219	-51
0.054271	-18
0.054323	-95
0.054375	-69
0.054427	-24
0.054479	-70
0.054531	-75
0.054583	-14
0.054635	31
0.054688	-55
0.054740	-16
0.054792	-21
0.054844	-38
0.054896	-45
0.054948	-23
0.055000	-49
0.055052	-17
0.055104	-40
0.055156	-61
0.055208	-84
0.055260	-67
0.055313	46
0.055365	-23
0.055417	-22
0.055469	9
0.055521	35
0.055573	-28
0.055625	-63
0.055677	38
0.055729	-65
0.055781	-59
0.055833	5
0.055885	-16
0.055938	-111
0.055990	-70
0.056042	10
0.056094	-60
0.056146	-76
0.056198	2
0.056250	-25
0.056302	-71
0.056354	-60
0.056406	-60
0.056458	-111
0.056510	-74
0.056563	44
0.056615	-67
0.056667	-90
0.056719	-3
0.056771	23
0.056823	-75
0.056875	-109
0.056927	-4
0.056979	-33
0.057031	-54
0.057083	40
0.057135	-45
0.057188	-21
0.057240	-17
0.057292	10
0.057344	-19
0.057396	-40
0.057448	-2
0.057500	10
0.057552	-59
0.057604	15
0.057656	-25
0.057708	-84
0.057760	-94
0.057813	1
0.057865	-78
0.057917	-109
0.057969	-3
0.058021	-19
0.058073	-94
0.058125	-121
0.058177	2
0.058229	-85
0.058281	-89
0.058333	22
0.058385	-44
0.058438	-168
0.058490	-25
0.058542	2
0.058594	-43
0.058646	-39
0.058698	13
0.058750	-51
0.058802	-46
0.058854	-42
0.058906	7
0.058958	12
0.059010	-59
0.059063	-28
0.059115	-67
0.059167	-121
0.059219	-9
0.059271	42
0.059323	-62
0.059375	-51
0.059427	6
0.059479	-78
0.059531	-59
0.059583	4
0.059635	-54
0.059688	-44
0.059740	-48
0.059792	41
0.059844	-52
0.059896	-44
0.059948	26
0.060000	48
0.060052	-24
0.060104	-49
0.060156	-16
0.060208	-20
0.060260	2
0.060313	9
0.060365	-21
0.060417	-44
0.060469	-31
0.060521	-31
0.060573	-59
0.060625	-93
0.060677	-2
0.060729	-34
0.060781	-95
0.060833	-5
0.060885	-35
0.060938	-86
0.060990	-48
0.061042	37
0.061094	-108
0.061146	-55
0.061198	-61
0.061250	-96
0.061302	-57
0.061354	-15
0.061406	-21
0.061458	-58
0.061510	-48
0.061563	-21
0.061615	-31
0.061667	-82
0.061719	-2
0.061771	-54
0.061823	-26
0.061875	-20
0.061927	5
0.061979	-70
0.062031	-92
0.062083	-30
0.062135	-34
0.062188	2
0.062240	-15
0.062292	65
0.062344	-41
0.062396	-62
0.062448	29
0.062500	-22
0.062552	-63
0.062604	-6
0.062656	15
0.062708	-44
0.062760	-4
0.062813	-14
0.062865	-81
0.062917	-152
0.062969	-1
0.063021	-18
0.063073	-43
0.063125	-33
0.063177	11
0.063229	-85
0.063281	-41
0.063333	-6
0.063385	-77
0.063438	-89
0.063490	-24
0.063542	-48
0.063594	-50
0.063646	-72
0.063698	-7
0.063750	-131
0.063802	-65
0.063854	-26
0.063906	-10
0.063958	-28
0.064010	-46
0.064063	-25
0.064115	-60
0.064167	-70
0.064219	-13
0.064271	5
